id,name,owner,capacity,fuel,year
515,Gemeinschaftskraftwerk Kiel,Gemeinschaftskraftwerk Kiel GmbH,323.0,Coal,1970
516,HKW Humboldtstr.,Stadtwerke Kiel AG,21.5,Gas,2005
517,Braunau-Simbach,Innwerk AG,100.0,Hydro,1953
518,,Windpark Großenehrich GmbH & Co. KG Renditefonds,22.0,Wind,2004
519,KW Kirchlengern,Energieservice Westfalen Weser GmbH,125.0,Gas,1981
520,Windpark Kirchwistedt,REG Regenerative Energien Standortentwicklung Gmbh & Co. Kirchwistedt KG,18.6,Wind,2005
521,Windpark Vollersode,Windpark GmbH & Co. Weserbrise KG,6.4,Wind,2006
522,Windpark Kisselbach,Breeze Two Energy GmbH & Co. KG,22.4,Wind,2006
523,,Windpark Klein Twülpstedt GmbH & Co. KG,14.3,Wind,2000
524,,ewz Windpark Kleinbrembach GmbH,16.0,Wind,2006
525,,Solarkraftwerk Reckahn I GmbH & Co. KG,35976.0,Solar,2010
526,,GSI Photovoltaik Projektgesellschaft Helbra mbH,10.63,Solar,2010
527,Walchensee,Uniper Kraftwerke GmbH ,124.0,Hydro,1924
528,,,38.0,Wind,2003
529,,IBERDROLA Renovables Deutschland GmbH,10.0,Wind,2005
530,HKW Merkenich,RheinEnergie AG,75.3,Coal,2010
531,HKW Südstadt,RheinEnergie AG,35.0,Gas,1994
532,HKW Niehl 2,RheinEnergie AG,413.0,Gas,2005
533,HKW Merkenich,RheinEnergie AG,108.0,Gas,2004
534,Shell Deutschland Oil GmbH,Shell Deutschland Oil GmbH,97.1,Oil,2004
535,Knapsack Gas I,Knapsack Power GmbH & Co. KG,800.0,Gas,2007
536,Knapsack Gas II,Statkraft Markets GmbH,430.0,Gas,2013
537,BMKW Königs Wusterhausen,MVV Energie AG,17.1,Biomass,2003
538,UW Körbelitz Wind,EEV Erneuerbare Energien Verwaltungs GmbH Dresden,68.0,Wind,2008
539,,,18.0,Wind,2009
540,UW Körbelitz,ENERTRAG Aktiengesellschaft,12.0,Wind,2006
541,BMHKW-BinderHolz,BinderHolz Deutschland GmbH,15.13,Biomass,2007
542,,ASPERG SECHSTE SOLAR GmbH,12.9,Solar,2008
543,,KOGEP vierzehn GmbH & Co. Solar 1411 KG,11666.0,Solar,2010
544,KWK-Anlage Krefeld DT,Cargill Deutschland GmbH,25.8,Gas,1999
545,KWK-Anlage Krefeld VM,Cargill Deutschland GmbH,14.0,Gas,1999
546,Kraftwerk L 57,Currenta GmbH & Co. OHG,26.0,Coal,1957
547,Kraftwerk N 230,Currenta GmbH & Co. OHG,110.0,Coal,1971
548,Erzhausen,Statkraft Markets GmbH,220.0,Hydro,1964
549,,Windpark Kremsdorf GmbH ,12.6,Wind,2001
550,,WKN Windkraft Nord GmbH & Co. Windpark Krempdorf KG,17.75,Wind,2003
551,,,14.42,Wind,2010
552,WEP Hamswehrum ,EWE ERNEUERBARE ENERGIEN GmbH,12.0,Wind,1994
553,,Windpark Groothusen GmbH & Co. Betriebs KG,12.0,Wind,2005
554,,Windpark Jennelt GmbH ,9.0,Wind,2001
555,,Pfeifer Holz GmbH,8.4,Biomass,2007
556,KW Kühtai,TIWAG-Tiroler Wasserkraft AG,144.5,Hydro,1981
557,KW Kühtai,TIWAG-Tiroler Wasserkraft AG,144.5,Hydro,1981
558,RWE Innogy Brise Windparkbetriebsgesellschaft mbH,innogy SE,28.0,Wind,2007
559,,deag Energie GmbH,10.6,Wind,2009
560,,Raiffeisenwindpark Lahn GmbH & Co.KG,14.0,Wind,2000
561,,Windpark Lahstedt ApS & Co. OHG,10.0,Wind,2006
562,,Windpark Lamstedt GbR,22.0,Wind,2009
563,Landesbergen Biomasse,Statkraft Markets GmbH,22.0,Biomass,2005
564,Landesbergen Gas,Statkraft Markets GmbH,56.0,Gas,1973
565,Landesbergen Gas,Statkraft Markets GmbH,431.0,Gas,1973
566,,Wattner SunAsset Solarkraftwerk 006 GmbH & Co. KG,12.0,Solar,2010
567,,ENERGIEKONTOR Windkraft GmbH & Co.,25.0,Wind,1999
568,,Energiekontor Windkraft GmbH & Co. WP KRE KG,20.8,Wind,2000
569,,Energiekontor Umwelt GmbH & Co.,11.0,Wind,1999
570,,Energiekontor Windkraft GmbH & Co. WP SIE-Gem. d. Eigentümer,11.0,Wind,2000
571,,,10.5,Wind,2001
572,,LERAK Mobiliengesellschaft mbH & Co. KG,20.0,Wind,2009
573,Laufenburg,Energiedienst Holding AG,104.4,Hydro,1914
574,Helmeringen KG,Stadtwerke München GmbH,10.0,Solar,2008
575,,ENERGIE KONTOR UMWELT GMBH,15.6,Wind,2000
576,Heizkraftwerk Leipzig-Nord,Stadtwerke Leipzig GmbH,167.0,Gas,1996
577,RWE Innogy Brise Windparkbetriebsgesellschaft mbH,innogy SE,14.4,Wind,2002
578,TREA Leuna,MVV Energie AG,16.25,Waste,2005
579,TREA Leuna,MVV Energie AG,16.25,Waste,2007
580,GuD Leuna,InfraLeuna GmbH,39.0,Gas,1998
581,ILK-GuD,InfraLeuna GmbH,35.0,Gas,1994
582,ILK-GuD,TOTAL Raffinerie Mitteldeutschland GmbH,35.0,Gas,1994
583,ILK-GuD,InfraLeuna GmbH,37.0,Gas,1994
584,Raffineriekraftwerk,TOTAL Raffinerie Mitteldeutschland GmbH,92.5,Oil,1997
585,ILK-GuD,InfraLeuna GmbH,8.7,Other,1994
586,ILK-EKT,InfraLeuna GmbH,14.0,Other,2000
587,ILK-GuD,InfraLeuna GmbH,20.0,Other,2010
588,,AVEA Entsorgungsbetriebe GmbH & Co. KG,11.6,Waste,2011
589,X-Kraftwerk,Currenta GmbH & Co. OHG,25.0,Gas,1981
590,G-Kraftwerk,Currenta GmbH & Co. OHG,103.0,Coal,1962
591,,Biomasse HKW Siegerland GmbH & Co.KG,14.0,Biomass,2016
592,Emsland,RWE Generation SE,116.0,Gas,1974
593,Emsland,RWE Generation SE,116.0,Gas,1973
594,Emsland,RWE Generation SE,359.0,Gas,1973
595,Emsland,RWE Generation SE,359.0,Gas,1974
596,Emsland,RWE Generation SE,887.0,Gas,2010
597,Kernkraftwerk Emsland,RWE Power AG,1336.0,Nuclear,1988
598,,,15.3,Wind,2001
599,,Enercon Windpark GmbH & Co. Küstenwind I KG,3.6,Wind,2003
600,Windpark Löbau,BOREAS Energie GmbH,38.55,Wind,1999
601,,,16.0,Wind,2002
602,,,13.6,Wind,2002
603,UW Louisfelde,ENERTRAG Aktiengesellschaft,64.6,Wind,2006
604,KW Mitte,BASF SE,47.0,Gas,1992
605,Kraftwerk Mitte,BASF SE,497.5,Gas,2005
606,Kraftwerk Süd,BASF SE,410.0,Gas,1997
607,Kläranlage,BASF SE,12.0,Waste,1992
608,Kraftwerk Nord,BASF SE,87.5,Other,1964
609,BMK Lünen ,STEAG New Energies GmbH,20.0,Biomass,2006
610,KW Lünen,Steag GmbH,149.0,Coal,1962
611,KW Lünen,Steag GmbH,324.0,Coal,1970
612,,WG Westerwischer GmbH & Co KG; Windpark Norderland Verwaltgs.- u. Beteiligungs GmbH,26.0,Wind,2003
