id,name,owner,capacity,fuel
256,Foyers,SSE,300.0,Hydro
257,West Burton CCGT,EDF Energy,1332.0,Gas
258,Peterhead,SSE,1180.0,Gas
259,Spalding,Intergen,950.0,Gas
260,Carrington,ESB,910.0,Gas
261,Kilroot GT,AES,143.2,Oil
262,Keadby 1,SSE,735.0,Gas
263,Little Barford,RWE Npower,723.0,Gas
264,Rye House,Drax Power,715.0,Gas
265,Ballylumford C,AES,616.0,Gas
266,Baglan Bay,Calon Energy,520.0,Gas
267,Great Yarmouth,RWE Npower,420.0,Gas
268,Coolkeeragh,ESB,413.0,Gas
269,Corby,ESB,407.0,Gas
270,Fellside CHP,Fellside Heat and Power,155.0,Gas
271,Wilton GT,Sembcorp Utilities,120.0,Gas
272,Indian Queens,Energy Capital Partners,140.0,Oil
273,Blackburn,Drax Power,60.0,Gas
274,Castleford,E.On UK,56.0,Gas
275,Sandbach,E.On UK,56.0,Gas
276,Thornhill,E.On UK,50.0,Gas
277,Burghfield,SSE,50.0,Gas
278,Chickerell,SSE,50.0,Gas
279,Chippenham,SSE,10.1,Gas
280,Pilkington - Greengate,SSE,10.0,Gas
281,London Heat Power,EDF Energy,9.0,Gas
282,Barkantine Heat Power,EDF Energy,1.0,Gas
283,Ballylumford B GT1 GT2,AES,116.0,Oil
284,Heysham 2,EDF Energy,1254.0,Nuclear
285,Torness,EDF Energy,1250.0,Nuclear
286,Sizewell B,EDF Energy,1223.0,Nuclear
287,Hartlepool,EDF Energy,1207.0,Nuclear
288,Heysham 1,EDF Energy,1179.0,Nuclear
289,Dungeness B,EDF Energy,1120.0,Nuclear
290,Hinkley Point B,EDF Energy,1061.0,Nuclear
291,Hunterston B,EDF Energy,1020.0,Nuclear
292,Dinorwig,Engie Power,1800.0,Hydro
293,Cruachan,Drax Power,440.0,Hydro
294,Didcot GT,RWE Npower,100.0,Oil
295,Thetford,EPR,41.5,Biomass
296,Ffestiniog,Engie Power,360.0,Hydro
297,Shotwick,Foresight Group,72.2,Solar
298,Bradenstoke,British Solar Renewables,69.8,Solar
299,Swindon,Toucan Energy Services,60.9,Solar
300,Owls Hatch,Cubico Sustainable Investments,51.9,Solar
301,Eveley,Greencoat Capital,49.3,Solar
302,Bann Road,Greencoat Capital,45.8,Solar
303,Crundale,Lightsource BP,43.7,Solar
304,Coltishall 1,Greencoat Capital,33.7,Solar
305,Ermine Street,Octopus Investments,32.4,Solar
306,Drax GT,Drax Power,75.0,Oil
307,Broxted,Cubico Sustainable Investments,31.6,Solar
308,Melbourn Muncey Farm,Octopus Investments,30.9,Solar
309,Exning,Lightsource BP,30.3,Solar
310,Waterloo Farm 1 2,Octopus Investments,28.7,Solar
311,Hill House Farm,Lightsource BP,28.3,Solar
312,Morton,Toucan Energy Services,28.1,Solar
313,Maghaberry,Lightsource BP,27.1,Solar
314,South Creake,Lightsource BP,26.0,Solar
315,Abbots Ripton,Octopus Investments,24.7,Solar
316,Stowbridge,Toucan Energy Services,24.3,Solar
317,Lerwick,SSE,67.0,Oil
318,Parley,RES Group,24.2,Solar
319,Bury Lane,Lightsource BP,22.2,Solar
320,Chalgrove,REG WindPower,21.3,Solar
321,Grange Farm 1,Toucan Energy Services,21.1,Solar
322,Pitchford,Octopus Investments,21.0,Solar
323,Egmere,RES Group,21.0,Solar
324,Fareham,Lightsource BP,20.5,Solar
325,Lisburn,Toucan Energy Services,20.5,Solar
326,Aston House,Toucan Energy Services,19.8,Solar
327,Thoresby,Octopus Investments,19.8,Solar
328,Grain GT,Uniper UK,56.0,Oil
329,Says Court,Lightsource BP,19.8,Solar
330,Newton Ferrers,REG WindPower,19.5,Solar
331,Willburton 2 (Mingay Farm),Octopus Investments,19.3,Solar
332,Sycamore,Octopus Investments,19.0,Solar
333,Melbourn Black Peak,Octopus Investments,19.0,Solar
334,Hadlow,Cubico Sustainable Investments,18.9,Solar
335,Six Hills,Octopus Investments,18.7,Solar
336,Wix Lodge (Stour Fields),RES Group,18.7,Solar
337,Hartwell,REG WindPower,18.6,Solar
338,Sundorne,Lightsource BP,18.2,Solar
339,Coolkeeragh GT,ESB,53.0,Oil
340,Christchurch,Greencoat Capital,17.9,Solar
341,Crucis Farm,Lightsource BP,16.1,Solar
342,Welbeck 1,Toucan Energy Services,16.0,Solar
343,Prestop Park,Lightsource BP,15.9,Solar
344,Castle Combe,Lightsource BP,15.3,Solar
345,Hook Valley,Wise Energy,15.3,Solar
346,Anglesey,Anesco,14.9,Solar
347,SPD 2 Hall Farm,REG WindPower,14.9,Solar
348,Bryn Yr Odyn,Octopus Investments,14.9,Solar
349,Malmaynes,Toucan Energy Services,14.8,Solar
350,West Burton GT,EDF Energy,40.0,Oil
351,Brynteg,Lightsource BP,14.8,Solar
352,Charity Farm,Lightsource BP,14.4,Solar
353,Little Morton,Octopus Investments,14.3,Solar
354,Littlewood,Toucan Energy Services,13.7,Solar
355,Wedgehill,Octopus Investments,13.5,Solar
356,Hendai,Toucan Energy Services,13.4,Solar
357,Woodlands Farm,Octopus Investments,13.2,Solar
358,Burthy,Lightsource BP,13.1,Solar
359,Errol,Greencoat Capital,13.0,Solar
360,Westerfield,Octopus Investments,13.0,Solar
361,Fiddlers Ferry GT,SSE,35.0,Oil
362,Parciau,Octopus Investments,12.7,Solar
363,Burcroft,Wise Energy,12.7,Solar
364,Chediston Hall,Octopus Investments,12.3,Solar
365,Chisbon,Octopus Investments,12.3,Solar
366,Hale Farm,REG WindPower,12.2,Solar
367,Fairwinds,Lightsource BP,12.2,Solar
368,Littleton Farm,Octopus Investments,12.0,Solar
369,Bishops Sutton,Octopus Investments,12.0,Solar
370,Mount Mill,Octopus Investments,12.0,Solar
371,Lodge Farm 1,Octopus Investments,12.0,Solar
372,Ratcliffe GT,Uniper UK,34.0,Oil
373,Singrug,Octopus Investments,12.0,Solar
374,Lower Newton,REG WindPower,11.9,Solar
375,Eakring,Octopus Investments,11.8,Solar
376,Stratton Hall,Octopus Investments,11.8,Solar
377,Derriton (Tamar Heights),RES Group,11.7,Solar
378,Hendre Fawr,Toucan Energy Services,11.6,Solar
379,Bobbing,Greencoat Capital,11.6,Solar
380,Ford,Toucan Energy Services,11.6,Solar
381,Knowlton,Lightsource BP,11.5,Solar
382,Burntstalk Farm,Octopus Investments,11.5,Solar
383,Baglan Bay GT,Calon Energy,32.3,Oil
384,New Stone House,Toucan Energy Services,11.5,Solar
385,Wiggin Hill,Octopus Investments,11.4,Solar
386,Welbeck 2,Anesco,11.3,Solar
387,Sellindge,Greencoat Capital,11.2,Solar
388,Norrington,Lightsource BP,11.1,Solar
389,Penare,RES Group,11.1,Solar
390,Bentham,Toucan Energy Services,11.1,Solar
391,Hill Farm (OI),Octopus Investments,10.8,Solar
392,Wrangle Farm,Greencoat Capital,10.8,Solar
393,The Hydes,Octopus Investments,10.7,Solar
394,Keadby GT,SSE,25.0,Oil
395,Bluegates,Toucan Energy Services,10.7,Solar
396,Skegness,Anesco,10.7,Solar
397,Tillhouse,Octopus Investments,10.5,Solar
398,Wrockwardine,Lightsource BP,10.5,Solar
399,Hoplass,Greencoat Capital,10.3,Solar
400,Huntingdon,Anesco,10.2,Solar
401,Carnemough,Greencoat Capital,10.1,Solar
402,Chapel Hill,Toucan Energy Services,10.1,Solar
403,Steventon,Anesco,10.0,Solar
404,Upper Farm,Toucan Energy Services,10.0,Solar
405,Stornoway,SSE,23.0,Oil
406,Glanford,EPR,16.7,Biomass
407,Owls Lodge,Anesco,10.0,Solar
408,Belfast Road,Lightsource BP,10.0,Solar
409,Manston,Lightsource BP,9.8,Solar
410,Southfield,Cubico Sustainable Investments,9.8,Solar
411,Garvinack,Toucan Energy Services,9.6,Solar
412,Rydon Farm,Octopus Investments,9.6,Solar
413,SPD 3 Grange Farm,REG WindPower,9.5,Solar
414,Wilton 2,Greencoat Capital,9.5,Solar
415,Westwood,Lightsource BP,9.2,Solar
416,Spittleborough,Octopus Investments,9.1,Solar
417,Little Barford GT,RWE Npower,17.0,Oil
418,Epwell,Lightsource BP,9.0,Solar
419,Natewood,Octopus Investments,9.0,Solar
420,Brook Farm,Lightsource BP,8.9,Solar
421,Somerton Door,Octopus Investments,8.7,Solar
422,The Hollies 1,Octopus Investments,8.6,Solar
423,Pyde Drove,Octopus Investments,8.4,Solar
424,North Wayton,Octopus Investments,8.4,Solar
425,Hullavington,Octopus Investments,8.3,Solar
426,Lower House,Greencoat Capital,8.2,Solar
427,Pencoose,REG WindPower,8.1,Solar
428,Kirkwall,SSE,16.0,Oil
429,Horam,Lightsource BP,8.1,Solar
430,Yarburgh,Anesco,8.1,Solar
431,Lexham,Octopus Investments,7.9,Solar
432,Hill Farm,Lightsource BP,7.7,Solar
433,Abergelli,Anesco,7.7,Solar
434,Avenue Farm,Octopus Investments,7.6,Solar
435,West Farm,Lightsource BP,7.6,Solar
436,Hunciecroft,Toucan Energy Services,7.6,Solar
437,Whitley (Ashcott Farm),Wise Energy,7.6,Solar
438,Weston Longville,Toucan Energy Services,7.6,Solar
439,Loch Carnan South Uist,SSE,11.0,Oil
440,Sutton Mawr,Octopus Investments,7.5,Solar
441,Stonebarrow,Greencoat Capital,7.5,Solar
442,Blackdown,Anesco,7.5,Solar
443,Coombe,Greencoat Capital,7.3,Solar
444,Millar Farm,Lightsource BP,7.2,Solar
445,Four Burrows (Kenwyn),RES Group,7.2,Solar
446,Newnton Dairy,Anesco,7.2,Solar
447,Mendip,Anesco,7.2,Solar
448,Westover,Greencoat Capital,7.0,Solar
449,Parsonage (Hazel),RES Group,7.0,Solar
450,Arnish,SSE,10.0,Oil
451,Oaklands 1,Octopus Investments,6.9,Solar
452,East Farm,Anesco,6.8,Solar
453,Place Farm,Toucan Energy Services,6.8,Solar
454,Higher Bye,Anesco,6.8,Solar
455,Pen-Y-Cae,Anesco,6.8,Solar
456,Parkhouse,Octopus Investments,6.6,Solar
457,Playters,Anesco,6.6,Solar
458,Lenham,Octopus Investments,6.6,Solar
459,Whitchurch,Anesco,6.5,Solar
460,Brett Martin,Lightsource BP,6.5,Solar
461,Five Oaks 1,SSE,9.0,Oil
462,Redbridge,Greencoat Capital,6.5,Solar
463,Rudge Manor,Octopus Investments,6.4,Solar
464,Rhydypandy,Toucan Energy Services,6.4,Solar
465,Chalcroft,Octopus Investments,6.3,Solar
466,QE2 Reservoir,Lightsource BP,6.3,Solar
467,Saron,Anesco,6.3,Solar
468,Chittering 2,Octopus Investments,6.3,Solar
469,Reaches Farm,Octopus Investments,6.2,Solar
470,SPD 4 Gelliwern,REG WindPower,6.2,Solar
471,Isle of Wight,Toucan Energy Services,6.2,Solar
472,Thatcham,SSE,9.0,Oil
473,Marley Thatch,Octopus Investments,6.2,Solar
474,Manston Thorne,Octopus Investments,6.2,Solar
475,Upper Farringdon,Octopus Investments,6.2,Solar
476,Langunnett,Lightsource BP,6.2,Solar
477,Little Neath,Lightsource BP,6.1,Solar
478,Meadow Farm,Octopus Investments,6.1,Solar
479,Blenches Mill,Wise Energy,6.1,Solar
480,Ottringham,Octopus Investments,6.1,Solar
481,Drapers Farm,Octopus Investments,6.0,Solar
482,Hewas,Octopus Investments,6.0,Solar
483,Bowmore,SSE,6.0,Oil
484,Carrowdore,Toucan Energy Services,6.0,Solar
485,Finvoy,Lightsource BP,6.0,Solar
486,Moira Road,Lightsource BP,5.9,Solar
487,Caswell,Octopus Investments,5.9,Solar
488,Tregassow,Octopus Investments,5.9,Solar
489,Grange Farm 2,Anesco,5.8,Solar
490,Bilsthorpe 1,Anesco,5.7,Solar
491,Gedling,Anesco,5.7,Solar
492,Raglington Farm,Wise Energy,5.7,Solar
493,Hazard,Octopus Investments,5.7,Solar
494,Barra,SSE,2.5,Oil
495,Bulls Head North,Anesco,5.5,Solar
496,West Hall,Octopus Investments,5.5,Solar
497,Salcey Farm,Anesco,5.5,Solar
498,Little Trevease,Octopus Investments,5.4,Solar
499,Shipton Bellinger,Octopus Investments,5.4,Solar
500,Tavells,Octopus Investments,5.4,Solar
501,Hillside,Lightsource BP,5.4,Solar
502,Lough Road,Lightsource BP,5.4,Solar
503,Knockairn Road,Lightsource BP,5.4,Solar
504,Decoy,Octopus Investments,5.3,Solar
505,Tiree,SSE,2.5,Oil
506,Bradford,Octopus Investments,5.3,Solar
507,Hatchlands,Octopus Investments,5.2,Solar
508,Bentley,Octopus Investments,5.2,Solar
509,Westwood Farm,Octopus Investments,5.1,Solar
510,Shelswell,Anesco,5.1,Solar
511,Rew Farm,Octopus Investments,5.1,Solar
512,Arna Wood,Greencoat Capital,5.0,Solar
513,Belper,Greencoat Capital,5.0,Solar
514,Bent Spur,Greencoat Capital,5.0,Solar
515,Berthllwyd,Greencoat Capital,5.0,Solar
516,Sloy,SSE,152.5,Hydro
517,Westfield 1,EPR,12.5,Biomass
518,Bodwen,Greencoat Capital,5.0,Solar
519,Bolsovermoor Quarry,Lightsource BP,5.0,Solar
520,Bumpers Farm,Anesco,5.0,Solar
521,Burnham Wick,Toucan Energy Services,5.0,Solar
522,Canopus,Toucan Energy Services,5.0,Solar
523,Cockett Valley,Greencoat Capital,5.0,Solar
524,Cold Harbour,Lightsource BP,5.0,Solar
525,Ebnal Lodge,Greencoat Capital,5.0,Solar
526,Five Oaks 2,Toucan Energy Services,5.0,Solar
527,Guston,Toucan Energy Services,5.0,Solar
528,Glendoe,SSE,100.0,Hydro
529,Hunger Hill,Greencoat Capital,5.0,Solar
530,Kinblethmont,Cubico Sustainable Investments,5.0,Solar
531,Lawrence End Park,Lightsource BP,5.0,Solar
532,Marvel (Stone Farm),RES Group,5.0,Solar
533,Nanthenfoel,Anesco,5.0,Solar
534,North Tenement,Lightsource BP,5.0,Solar
535,Oaklands 2,Eneco Wind UK,5.0,Solar
536,Pantymoch,Greencoat Capital,5.0,Solar
537,Peterlee,Octopus Investments,5.0,Solar
538,Royston,Greencoat Capital,5.0,Solar
539,Errochty,SSE,75.0,Hydro
540,Safeguard Bradwall,Lightsource BP,5.0,Solar
541,Sandhutton,Greencoat Capital,5.0,Solar
542,School Aycliffe,Lightsource BP,5.0,Solar
543,Sheriffhales,Lightsource BP,5.0,Solar
544,Sudbrook,Greencoat Capital,5.0,Solar
545,Trowle,Toucan Energy Services,5.0,Solar
546,Upper wick,Toucan Energy Services,5.0,Solar
547,West Carclaze,Greencoat Capital,5.0,Solar
548,Widehurst,Toucan Energy Services,5.0,Solar
549,Wilbees,Toucan Energy Services,5.0,Solar
550,Fasnakyle,SSE,69.0,Hydro
551,Fawley (Langley),Lightsource BP,5.0,Solar
552,Howton,Lightsource BP,5.0,Solar
553,Bake Farm,Cubico Sustainable Investments,5.0,Solar
554,Guynd,Cubico Sustainable Investments,5.0,Solar
555,Newlands Farm,Cubico Sustainable Investments,5.0,Solar
556,Short Hazel,Octopus Investments,5.0,Solar
557,Stragglethorpe,Lightsource BP,5.0,Solar
558,The Breck,Octopus Investments,5.0,Solar
559,Walland Farm,Octopus Investments,5.0,Solar
560,Shuttleworth,Toucan Energy Services,5.0,Solar
561,Clunie,SSE,61.2,Hydro
562,Tower Hayes,Toucan Energy Services,5.0,Solar
563,Beeches,Anesco,5.0,Solar
564,Birch Estate,Octopus Investments,5.0,Solar
565,Cloford Common Farm,Octopus Investments,5.0,Solar
566,Guisborough,Octopus Investments,5.0,Solar
567,Hermitage,Anesco,5.0,Solar
