id,name,owner,capacity,fuel
1127,Maldie,RWE Npower,4.0,Hydro
1128,Carscreugh,John Laing Environmental Asset Group,15.3,Wind
1129,Cemmaes,EDF Energy,15.3,Wind
1130,Clachan Flats,Scottish Power,15.0,Wind
1131,Jacks Lane,RES Group,15.0,Wind
1132,Nutberry,Falck Renewables,15.0,Wind
1133,Wingates,Venitent Energy Services,15.0,Wind
1134,Mynydd Clogau,Venitent Energy Services,14.5,Wind
1135,White Mill,Temporis Capital,14.4,Wind
1136,Burton Wold Extention,John Laing Environmental Asset Group,14.0,Wind
1137,Grange 1,RES Group,14.0,Wind
1138,Black Rock,RWE Npower,3.5,Hydro
1139,Kiln Pit Hill,RWE Npower,14.0,Wind
1140,Walkway,EDF Energy,14.0,Wind
1141,Crystal Rig III,Fred Olsen Renewables,13.8,Wind
1142,Ewe Hill I,Scottish Power,13.8,Wind
1143,Hare Hill 1,Scottish Power,13.2,Wind
1144,Blantyre Muir,Engie Power,13.2,Wind
1145,Gordonstown Hill,Venitent Energy Services,12.5,Wind
1146,Todmorden Moor,RES Group,12.5,Wind
1147,Glass Moor II,EDF Energy,12.3,Wind
1148,Grange 2,BayWa R.E,12.3,Wind
1149,Kingairloch,SSE,3.5,Hydro
1150,Muirhall,Temporis Capital,12.3,Wind
1151,Rhodders,EDF Energy,12.3,Wind
1152,Sober Hill,Engie Power,12.3,Wind
1153,Barmoor,EDF Energy,12.0,Wind
1154,Goonhilly Downs 2,REG WindPower,12.0,Wind
1155,Middleton,Scottish Power,12.0,Wind
1156,Mynydd Portref,REG WindPower,12.0,Wind
1157,Red House,EDF Energy,12.0,Wind
1158,Tallentire,RES Group,12.0,Wind
1159,Spaldington,Falck Renewables,11.8,Wind
1160,Lairg 1,SSE,3.5,Hydro
1161,Altahullion Extension,RES Group,11.7,Wind
1162,Moel Moelogan,John Laing Environmental Asset Group,11.7,Wind
1163,AOE,WPO,11.5,Wind
1164,Bilsthorpe 2,John Laing Environmental Asset Group,10.6,Wind
1165,Barlockhart Moor,Engie Power,10.5,Wind
1166,Ferndale,John Laing Environmental Asset Group,10.4,Wind
1167,St Breock,REG WindPower,10.3,Wind
1168,Butterwick Moor Circuit 1,E.ON UK,10.3,Wind
1169,Butterwick Moor Circuit 2,E.ON UK,10.3,Wind
1170,Earls Hall Farm,Greencoat Capital,10.3,Wind
1171,River Cuileig,SSE,3.3,Hydro
1172,Seamer,Venitent Energy Services,10.3,Wind
1173,Meikle Carewe,RES Group,10.2,Wind
1174,Mynydd Gorddu,Venitent Energy Services,10.2,Wind
1175,Neilston,RES Group,10.1,Wind
1176,Cairnborrow,Engie Power,10.0,Wind
1177,Carsington,Engie Power,10.0,Wind
1178,Denzell Downs,REG WindPower,10.0,Wind
1179,Port of Liverpool,WPO,10.0,Wind
1180,Ransonmoor,Temporis Capital,10.0,Wind
1181,Sancton Hill,REG WindPower,10.0,Wind
1182,Achanalt,SSE,3.1,Hydro
1183,Drax - biomass units,Drax Power,2640.0,Biomass
